SOC Group,SOC Code,SOC Title,title_lower,SOC Definition,From Occupation Data,50 highest-paying jobs in America,Highest-paying jobs for high school graduates,Highest paying jobs in education,50 fastest-growing jobs for the future,Fastest-growing jobs that pay over $100K,Generated,Stacker Description
Detailed,11-3021,Computer and Information Systems Managers,computer and information systems managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming. Excludes “Computer Occupations” (15-1211 through 15-1299).","Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.","<p>Computer and information systems managers—also called IT managers or IT project managers—lead the installation and maintenance of computer hardware and software, ensure network security, and oversee system upgrades. Some managers earn a bachelor's degree in computer or information science, after which they may also earn a master's degree in business administration.</p>",,,,,,"Computer and information systems managers oversee technology operations that keep modern businesses running. They coordinate teams of programmers, analysts, and IT specialists while ensuring systems remain secure and efficient. These managers bridge the gap between technical teams and executive leadership, translating complex technology needs into business solutions that drive organizational success."
Detailed,11-3031,Financial Managers,financial managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment. Excludes “Financial Risk Specialists” (13-2054).","Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.","<p>In this job, one develops strategies to meet a company's long-term financial goals. Financial managers seek ways to reduce costs and maximize profits. Most earn a bachelor's degree and have five years of experience in accounting or a similar field. A master's degree can also fortify an applicant's qualifications.</p>",,,,,,"Financial managers guide organizations through complex monetary decisions that can make or break a company's future. They oversee budgeting, investment strategies, and risk assessment while ensuring compliance with financial regulations. These professionals analyze market trends and economic data to help executives make informed decisions about everything from daily operations to major acquisitions."
Detailed,11-3051,Industrial Production Managers,industrial production managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.","Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",,,,,,,"Industrial production managers orchestrate the complex dance of manufacturing, ensuring products are made efficiently, safely, and to exact specifications. They coordinate workers, machinery, and materials while monitoring quality control and meeting tight deadlines. These managers must balance cost containment with production goals, often making split-second decisions that affect entire supply chains."
Detailed,11-3061,Purchasing Managers,purchasing managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.","Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.","<p>Purchasing managers oversee buyers, purchasing officers, and other workers who deal with materials, products, and services for a company. Most purchasing managers hold a bachelor's degree and have experience in procurement. Further certifications are available through the American Purchasing Society and other organizations.</p>",,,,,,"Purchasing managers control the flow of goods and services that keep organizations operational. They negotiate contracts, evaluate suppliers, and ensure materials arrive on time and within budget. These professionals must balance quality, cost, and reliability while building strategic partnerships with vendors that can provide competitive advantages in increasingly complex global markets."
Detailed,11-3071,"Transportation, Storage, and Distribution Managers","transportation, storage, and distribution managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",,"<p>The most lucrative job for high school graduates in the United States is as a transportation, storage, and distribution manager. These employees plan and coordinate transportation, storage, and distribution of products according to their employer's best practices as well as laws and regulations. Most of these managers work in either warehousing, trucking, or company management, although smaller numbers work for local governments or the federal government.</p>",,,,,"Transportation, storage, and distribution managers ensure products reach their destinations efficiently and cost-effectively. They coordinate complex logistics networks involving trucks, warehouses, and distribution centers while navigating regulations and optimizing routes. These managers play a crucial role in supply chain success, especially as e-commerce continues reshaping consumer expectations for fast delivery."
Detailed,11-3111,Compensation and Benefits Managers,compensation and benefits managers,"Plan, direct, or coordinate compensation and benefits activities of an organization. Job analysis and position description managers are included in “Human Resources Managers” (11-3121).","Plan, direct, or coordinate compensation and benefits activities of an organization.","<p>Compensation and benefits managers set pay and benefits structures, determine competitive wages, and choose outside partners, including insurance brokers and investment managers. Most managers hold a bachelor's degree, though further credentials are available through associations such as the HR Certification Institute.</p>",,,,,,"Compensation and benefits managers design and oversee employee pay structures, health insurance plans, retirement packages, and other workplace perks. They analyze market data to ensure competitive offerings while balancing company budgets. These professionals must stay current on employment law and tax regulations that affect benefits administration."
Detailed,11-3121,Human Resources Managers,human resources managers,"Plan, direct, or coordinate human resources activities and staff of an organization. Excludes managers who primarily focus on compensation and benefits (11-3111) and training and development (11-3131).","Plan, direct, or coordinate human resources activities and staff of an organization.","<p>Human resources managers oversee the essential acts of recruiting, interviewing, and hiring staff. They also mediate disputes and discipline workers. Aside from a bachelor's degree, many human resources managers attain certifications from the Society for Human Resource Management and other organizations.</p>",,,,,,"Human resources managers oversee the essential acts of recruiting, interviewing, and hiring staff. They also mediate disputes and discipline workers. Aside from a bachelor's degree, many human resources managers attain certifications from the Society for Human Resource Management and other organizations."
Detailed,11-3131,Training and Development Managers,training and development managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.","Plan, direct, or coordinate the training and development activities and staff of an organization.",,,,,,,"Training and development managers create and implement programs to enhance employee skills and advance careers within organizations. They assess training needs, design curricula, and coordinate with external vendors or internal instructors. These professionals help companies maintain competitive workforces while supporting individual professional growth."
Detailed,11-9013,"Farmers, Ranchers, and Other Agricultural Managers","farmers, ranchers, and other agricultural managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities. Excludes “First-Line Supervisors of Farming, Fishing, and Forestry Workers” (45-1011).","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",,"<p>The COVID-19 pandemic has been particularly difficult for farmers, ranchers, and other agricultural managers. The closures of huge food processing plants due to outbreaks and loss of business from shuttered restaurants and commercial kitchens caused the industry to take a dip, but <a href=""https://time.com/5865037/coronavirus-agriculture-us/"">experts say it's poised to bounce back</a>. Over the past few decades, job growth for farmers has held steady as increased agricultural efficiency has consolidated the country's food production into a smaller number of large farms.</p>",,,,,"Agricultural managers oversee the complex operations of farms, ranches, and other food production facilities. They coordinate planting and harvesting schedules, manage livestock care, supervise workers, and handle financial planning and marketing. These professionals must balance traditional farming knowledge with modern technology and business acumen."
Detailed,11-9021,Construction Managers,construction managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.","Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",,,,,,,"Construction managers coordinate building projects from conception to completion, overseeing budgets, schedules, and safety protocols. They work with architects, engineers, and subcontractors to ensure projects meet specifications and deadlines. These professionals must understand both technical construction processes and business management principles."
Detailed,11-9031,"Education and Childcare Administrators, Preschool and Daycare","education and childcare administrators, preschool and daycare","Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care. Excludes “Preschool Teachers, Except Special Education” (25-2011) and “Childcare Workers” (39-9011).","Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care.",,,,,,,"Education and childcare administrators oversee the daily operations of preschools, daycare centers, and before- and after-school programs. They manage staff, develop curricula, ensure safety compliance, and coordinate with parents and community organizations. These administrators balance educational goals with business operations, requiring both child development knowledge and management skills to create nurturing environments where young children can learn and grow."
Detailed,11-9032,"Education Administrators, Kindergarten through Secondary","education administrators, kindergarten through secondary","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.",,,,,,,"School administrators guide the educational journey of students from kindergarten through high school. They oversee curriculum development, manage faculty and staff, handle disciplinary issues, and ensure schools meet state and federal standards. These leaders work closely with teachers, parents, and school boards to create positive learning environments while managing budgets and implementing educational policies that support student achievement."
Detailed,11-9033,"Education Administrators, Postsecondary","education administrators, postsecondary","Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.","Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.",,,,,,,"Postsecondary education administrators shape the college experience by overseeing academic programs, student services, and institutional operations at universities and colleges. They coordinate everything from admissions and financial aid to research initiatives and campus life. These professionals work to maintain academic standards, manage budgets, and ensure their institutions provide quality education while adapting to changing higher education landscapes."
Detailed,11-9039,"Education Administrators, All Other","education administrators, all other",All education administrators not listed separately.,All education administrators not listed separately.,,,,,,,"Education administrators in specialized roles oversee various educational programs and institutions not covered by traditional school settings. They may manage corporate training programs, museum education departments, government educational initiatives, or online learning platforms. These versatile professionals adapt educational principles to diverse environments, ensuring effective learning experiences across non-traditional educational contexts while meeting specific organizational or community needs."
Detailed,11-9041,Architectural and Engineering Managers,architectural and engineering managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields. Excludes “Natural Sciences Managers” (11-9121).","Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.","<p>Architectural and engineering managers optimize research and the development of new products, processes, or designs. Along with experience as architects or engineers, these managers typically earn a bachelor's degree and one of several advanced degrees, such as a Master of Business Administration or Master of Science in Technology Management.</p>",,,,,,"Architectural and engineering managers bridge the gap between technical expertise and business leadership. They oversee complex projects from conception to completion, coordinating teams of architects, engineers, and other specialists. These managers balance technical requirements with budget constraints and deadlines, ensuring projects meet safety standards and client specifications while managing resources effectively in fields ranging from construction to product development."
Detailed,11-9051,Food Service Managers,food service managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages. Excludes “Chefs and Head Cooks” (35-1011).","Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",,"<p>Although food service managers work in restaurants, they don't actually cook. Instead, they coordinate and direct every aspect of service. Many food service managers saw their work disrupted or lost their jobs when the COVID-19 pandemic <a href=""https://www.brookings.edu/research/a-band-aid-on-a-gunshot-wound-how-the-restaurant-industry-is-responding-to-covid-19-relief/"">forced restaurants across the country to close</a>. Experts don't expect the industry to <a href=""https://www.cnbc.com/2021/03/06/more-restaurant-jobs-and-the-stimulus-package-foreshadow-the-industrys-coming-recovery.html"">fully recover until 2022</a>.</p>",,,,,"Food service managers oversee restaurant operations, ensuring smooth coordination between kitchen staff, servers, and customers. They handle everything from menu planning and inventory management to staff scheduling and quality control. These managers must balance food safety regulations, customer satisfaction, and profitability while maintaining efficient service during busy periods."
Detailed,11-9071,Gambling Managers,gambling managers,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.","Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.",,"<p>In a casino, gambling managers take charge of the entire gambling floor, from staffing needs to the house rules. California, home to 69 casinos, and Nevada, home of gambling haven Las Vegas, employ the largest numbers of gambling managers in the country.</p>",,,,,"Gambling managers supervise casino floor operations, overseeing table games, slot machines, and gaming staff. They establish house rules, monitor compliance with gaming regulations, and ensure fair play while maximizing revenue. These professionals must understand complex gaming laws, manage large teams, and handle high-stakes situations involving significant money and customer disputes."
Detailed,11-9072,"Entertainment and Recreation Managers, Except Gambling","entertainment and recreation managers, except gambling","Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks.","Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks.",,,,,,,"Entertainment and recreation managers create memorable experiences at theme parks, cruise ships, resorts, and recreational facilities. They coordinate diverse activities from live shows and sports programs to special events and guest services. These managers balance customer satisfaction with operational efficiency while ensuring safety standards and managing seasonal staffing challenges."
Detailed,11-9081,Lodging Managers,lodging managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations. Excludes “Food Service Managers” (11-9051) in lodging establishments.","Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.",,"<p>Anywhere that provides temporary accommodations for travelers likely has a lodging manager on site to direct and coordinate the staff's efforts. The vast majority work at hotels, motels, and resorts, but some lodging managers also operate campgrounds and RV parks.</p>",,,,,"Lodging managers ensure guests have exceptional stays at hotels, resorts, and other accommodation facilities. They oversee front desk operations, housekeeping, maintenance, and guest services while managing budgets and staff schedules. These professionals handle everything from reservation systems and customer complaints to facility upgrades and revenue optimization strategies."
Detailed,11-9111,Medical and Health Services Managers,medical and health services managers,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.","Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",,,,,,,"Medical and health services managers keep healthcare facilities running efficiently while maintaining quality patient care. They oversee budgets, staff coordination, regulatory compliance, and technology systems in hospitals, clinics, and health organizations. These administrators bridge the gap between medical professionals and business operations, ensuring both clinical excellence and financial sustainability."
Detailed,11-9121,Natural Sciences Managers,natural sciences managers,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields. Excludes “Computer and Information Systems Managers” (11-3021) and “Architecture and Engineering Managers” (11-9041).","Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.","<p>Natural sciences managers direct research and development; hire scientists, technicians, and other staff; and manage laboratories. Many earn a master's or doctorate and become licensed in their state.</p>",,,,,,"Natural sciences managers oversee research and development teams in fields like biology, chemistry, physics, and mathematics. They bridge the gap between scientific expertise and business operations, coordinating laboratory activities, managing budgets, and ensuring projects meet deadlines. These professionals typically hold advanced degrees in their scientific field and combine technical knowledge with strong leadership skills to guide complex research initiatives."
Detailed,11-9131,Postmasters and Mail Superintendents,postmasters and mail superintendents,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.","Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",,"<p>Postmasters and mail superintendents orchestrate the operations of an entire post office, from administrative tasks to coordinating workers' activities. However, as automated systems take over the jobs of some postal workers, jobs for postmasters and superintendents might also become less common.</p>",,,,,"Postmasters and mail superintendents manage the daily operations of U.S. post offices, overseeing everything from mail sorting and delivery routes to customer service and facility maintenance. They coordinate staff schedules, ensure compliance with postal regulations, and handle administrative duties. These managers play a crucial role in maintaining the reliability of mail services that millions of Americans depend on daily."
Detailed,11-9141,"Property, Real Estate, and Community Association Managers","property, real estate, and community association managers","Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).","Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).",,"<p>When touring a prospective apartment or office space, a property, real estate, or community association manager might be the person leading the way. These professionals also liaise with tenants and owners, inspect the grounds, and lease properties. Although some employers might favor applicants with college degrees, a high school diploma is the only job requirement for this profession.</p>",,,,,"Property managers handle the day-to-day operations of residential, commercial, and industrial real estate. They collect rent, coordinate maintenance and repairs, screen tenants, and ensure properties comply with local regulations. From managing apartment complexes to overseeing homeowner associations, these professionals serve as the primary liaison between property owners and tenants while maximizing property values and rental income."
Detailed,11-9151,Social and Community Service Managers,social and community service managers,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization’s budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.","Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.",,,,,,,"Social and community service managers coordinate programs that help vulnerable populations access essential services like housing assistance, job training, and mental health support. They oversee budgets, develop policies, and supervise social workers and counselors. These managers ensure their organizations effectively serve communities while maintaining compliance with government regulations and funding requirements."
Detailed,11-9161,Emergency Management Directors,emergency management directors,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.","Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.",,,,,,,"Emergency management directors develop comprehensive disaster response plans and coordinate relief efforts during crises. They conduct risk assessments, organize training exercises, and work with local agencies to prepare communities for natural disasters, terrorist attacks, and other emergencies. When disasters strike, these professionals lead coordinated responses that can save lives and minimize property damage."
Detailed,11-9171,Funeral Home Managers,funeral home managers,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes. Excludes “Morticians, Undertakers, and Funeral Arrangers” (39-4031).","Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.",,,,,,,"Funeral home managers oversee all aspects of funeral services, from coordinating memorial ceremonies to managing staff and facilities. They determine pricing for services and merchandise, ensure compliance with health regulations, and provide compassionate guidance to grieving families during difficult times. These professionals balance business operations with the sensitive nature of helping people honor their loved ones."
Detailed,11-9179,"Personal Service Managers, All Other","personal service managers, all other","All personal service managers not listed separately. Excludes “Financial Specialists” (13-2000). Daycare Managers are included in Education and Childcare Administrators, Preschool and Daycare (11-9031).",All personal service managers not listed separately.,,,,,,,"Personal service managers in specialized fields coordinate operations for businesses focused on individual client care. They might oversee pet grooming salons, personal shopping services, or wellness centers. These managers handle staffing, scheduling, and customer relations while ensuring their establishments deliver personalized experiences that meet clients' unique needs and preferences."
Detailed,11-9199,"Managers, All Other","managers, all other",All managers not listed separately.,All managers not listed separately.,,,,,,,"Management professionals in diverse industries lead teams and coordinate operations across countless specialized fields. From overseeing niche manufacturing processes to directing unique service operations, these managers adapt core leadership skills to their specific industry requirements. They handle strategic planning, staff supervision, and operational efficiency regardless of their particular business sector."
Detailed,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes","agents and business managers of artists, performers, and athletes","Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients.","Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients.","<p>High-profile celebrities often employ agents and business managers to handle promotion, representation, and other business or legal matters on their behalf. Considering the nature of the job, the vast majority of agents and business managers are based in California and New York. Almost half of these professionals have a bachelor's degree, though there are no specific educational requirements for this line of work.</p>",,,,,,"Talent agents and business managers represent entertainers and athletes in contract negotiations and career decisions. They secure performance opportunities, endorsement deals, and media appearances while handling financial planning and legal matters. These professionals must understand both the creative industries and business operations to effectively advocate for their clients' interests and career advancement."
Detailed,13-1021,"Buyers and Purchasing Agents, Farm Products","buyers and purchasing agents, farm products","Purchase farm products either for further processing or resale. Includes tree farm contractors, grain brokers and market operators, grain buyers, and tobacco buyers. May negotiate contracts.","Purchase farm products either for further processing or resale. Includes tree farm contractors, grain brokers and market operators, grain buyers, and tobacco buyers. May negotiate contracts.",,,,,,,"Agricultural buyers and purchasing agents specialize in procuring farm products for processing companies or retail distribution. They evaluate crop quality, negotiate prices with farmers, and coordinate transportation logistics. These professionals must understand seasonal markets, agricultural regulations, and commodity trading to secure the best products at competitive prices for their employers."
